"id","age_months","age_years","gender","primary_lang","is_bilingual","stim_set","highest_count","knower_level","knower_level_cp_subset"
"00a40fa7-85cc-4013-802d-55a22891cb87",36,3,"F","English","N",5,11,"2","subset"
"02cf286f-e2b7-4d6f-aeef-5ce2be327215",51,4,"F","English","N",1,9,"CP","CP"
"046da44d-4263-408e-9dca-45cc31e63429",53,4,"F","English","N",2,12,"CP","CP"
"07dc0307-6117-4a8c-8689-d2ca6baee275",61,5,"F","English","N",4,100,"CP","CP"
"120b6d0f-02e8-4022-9e13-cec68fe2eb37",51,4,"F","English","N",6,12,"2","subset"
"12f99e13-1927-42e7-8e17-1eee48f80834",37,3,"M","English","N",1,1,"2","subset"
"1408d7e1-f24e-4b6e-97a7-f0d90a047918",70,5,"F","English","N",1,29,"CP","CP"
"15ad5f06-65f9-4d9c-8da5-5c61479634a3",50,4,"M","English","N",1,10,"CP","CP"
"18d3df32-bdaf-45c9-a937-d57a83e034b7",58,4,"M","English","N",1,12,"CP","CP"
"1b2517f9-37f5-46dd-a90d-def9e8a3f6d7",28,2,"M","English","N",3,NA,"3","subset"
"1c65c41e-18ea-4226-8cdb-466040d79b79",35,2,"F","English","N",4,1,"2","subset"
"21197cb6-a405-4b4c-83d6-42717947a0b3",58,4,"F","English","N",5,28,"CP","CP"
"212e669f-c452-4d4e-aa68-174056af6fa3",53,4,"F","English","N",1,14,"CP","CP"
"2b19958f-d0d2-4692-a611-2146a5b93e7e",50,4,"M","English","N",5,2,"CP","CP"
"2c970f82-fde3-45f3-b420-2f82a2bbc74c",56,4,"F","English","N",3,12,"CP","CP"
"31189271-b3aa-4901-bf22-239f8b61fc02",46,3,"M","English","N",6,29,"CP","CP"
"350248e7-4e16-4f9b-9c0e-fb278361cca2",44,3,"M","English","N",3,11,"CP","CP"
"39a10834-25d8-4137-8665-0e1ebe5fd9ba",59,4,"M","English","N",1,59,"CP","CP"
"3ae1de4f-11df-440b-876a-de4a73a18e51",43,3,"F","English","N",2,8,"2","subset"
"4c116ce6-3fa5-47a7-89f9-ff0ec91da8b4",46,3,"F","English","N",1,12,"3","subset"
"4eed1c0f-693e-49f9-87f8-bc43ec87ceee",49,4,"M","English","N",1,10,"CP","CP"
"511fc608-fcc1-480b-a328-fc584a7b4380",36,3,"F","English","N",4,5,"3","subset"
"51637141-7236-4b56-9878-dd101632327a",44,3,"F","English","N",1,4,"2","subset"
