stim_set,trial,magnitude,n_bunnies,n_lions,loc_bunny,item,set_asked
1,1,small,3,1,right,bottle,lion
1,2,large,5,7,left,hat,lion
1,3,large,6,7,right,backpack,bunny
1,4,small,2,3,left,book,bunny
1,5,small,1,2,right,lunchbox,lion
1,6,large,8,5,left,ball,bunny
2,1,large,6,7,right,hat,lion
2,2,small,1,2,left,lunchbox,bunny
2,3,large,7,5,left,ball,bunny
2,4,small,3,1,right,bottle,lion
2,5,large,5,8,left,backpack,bunny
2,6,small,2,3,left,book,lion
3,1,small,2,3,right,hat,lion
3,2,small,1,3,left,ball,bunny
3,3,large,5,7,right,book,lion
3,4,large,8,5,right,bottle,bunny
3,5,small,2,1,right,backpack,lion
3,6,large,6,7,left,lunchbox,bunny
4,1,large,5,8,left,book,bunny
4,2,large,6,7,left,bottle,lion
4,3,small,1,2,right,hat,lion
4,4,large,7,5,right,lunchbox,bunny
4,5,small,3,2,left,ball,lion
4,6,small,3,1,left,backpack,bunny
5,1,small,3,1,right,lunchbox,lion
5,2,small,2,1,left,book,lion
5,3,large,7,6,right,hat,bunny
5,4,small,2,3,right,bottle,lion
5,5,large,5,8,right,backpack,bunny
5,6,large,7,5,left,ball,bunny
6,1,large,8,5,right,book,lion
6,2,small,1,2,left,backpack,lion
6,3,small,3,1,right,ball,bunny
6,4,large,6,7,right,bottle,bunny
6,5,small,3,2,right,hat,lion
6,6,large,7,5,left,lunchbox,bunny
