stim_set,trial,magnitude,ratio,trial_type,n_item1,n_item2,loc_item1,item1,item2
1,1,large,DR,large - DR,11,5,bottom,hat,bottle
1,2,small,NA,small,3,1,top,backpack,book
1,3,large,NDR,large - NDR,10,11,bottom,ruler,sandwich
1,4,small,NA,small,2,1,bottom,basket,bowl
1,5,large,NDR,large - NDR,10,9,top,spoon,toothbrush
1,6,large,DR,large - DR,6,12,bottom,ball,lunchbox
1,7,small,NA,small,2,3,top,key,train
1,8,large,NDR,large - NDR,11,12,bottom,pencil,fork
1,9,large,DR,large - DR,5,10,bottom,apple,balloon
2,1,large,NDR,large - NDR,10,9,bottom,book,toothbrush
2,2,large,DR,large - DR,5,10,bottom,key,balloon
2,3,large,DR,large - DR,12,6,bottom,ruler,lunchbox
2,4,small,NA,small,1,2,bottom,hat,bowl
2,5,large,NDR,large - NDR,11,12,top,basket,fork
2,6,small,NA,small,3,2,top,ball,train
2,7,large,NDR,large - NDR,11,10,bottom,apple,sandwich
2,8,small,NA,small,1,3,bottom,spoon,backpack
2,9,large,DR,large - DR,5,11,bottom,pencil,bottle
3,1,large,DR,large - DR,12,6,top,hat,sandwich
3,2,large,DR,large - DR,5,11,bottom,pencil,balloon
3,3,small,NA,small,3,2,bottom,key,lunchbox
3,4,large,NDR,large - NDR,9,10,top,spoon,ball
3,5,large,NDR,large - NDR,11,10,bottom,backpack,bowl
3,6,small,NA,small,3,1,top,ruler,book
3,7,large,DR,large - DR,10,5,bottom,fork,train
3,8,small,NA,small,1,2,bottom,toothbrush,basket
3,9,large,NDR,large - NDR,11,12,top,apple,bottle
4,1,large,DR,large - DR,6,12,bottom,hat,train
4,2,large,DR,large - DR,5,10,top,balloon,sandwich
4,3,small,NA,small,3,1,bottom,ruler,pencil
4,4,large,NDR,large - NDR,10,11,bottom,backpack,lunchbox
4,5,small,NA,small,3,2,top,ball,bottle
4,6,large,DR,large - DR,5,11,bottom,key,basket
4,7,small,NA,small,1,2,top,bowl,book
4,8,large,NDR,large - NDR,11,12,top,apple,toothbrush
4,9,large,NDR,large - NDR,9,10,bottom,spoon,fork
