"id","age_months","age_years","gender","primary_lang","is_bilingual","stim_set","highest_count","knower_level","knower_level_cp_subset"
"12fbed5d-171a-472b-9c91-61cefa002d54",41,3,"M","Kannada","Y",1,39,"CP","CP"
"34bab5a4-3a86-429c-ade8-600014c85303",72,6,"M","English","N",1,130,"CP","CP"
"3eacc0b5-46b8-49ac-bcf6-7f61b228d93c",45,3,"F","English","N",1,11,"CP","CP"
"417c43e7-cfae-4242-b5b5-ca4fd63ff86a",66,5,"M","English","N",1,100,"CP","CP"
"536cb3db-0885-4bc2-aaca-ab7d9b2fde2f",62,5,"M","English","N",1,13,"CP","CP"
"8f7cbab0-e6da-4e30-9923-7482aa8c3782",49,4,"M","English","N",1,73,"CP","CP"
"91787a4a-c606-4ed1-a5ef-8071115b2743",49,4,"F","English","N",1,31,"CP","CP"
"9d86afb2-f5ff-4847-aebf-6a94eacb5d14",67,5,"F","English","N",1,16,"CP","CP"
"a24e9d15-2bd7-4ed6-934c-b7e7e527734d",80,6,"F","English","N",1,113,"CP","CP"
"a294a966-47ea-425b-a09f-4c9a60599264",55,4,"M","English","N",1,11,"CP","CP"
"aa9f0fac-fe54-47a0-ac01-fca5d7dce6be",54,4,"F","English","N",1,9,"CP","CP"
"aaf1ba36-93d5-42d6-9853-0a89e9711909",59,4,"M","English","N",1,12,"CP","CP"
